step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.034482758620689655,0.0008019246190858059,0.0,0.005197065515964603,0.034482758620689655,0.0
43,0.0,0.0007836990595611285,0.0,0.005139058404625392,0.034482758620689655,0.0
44,0.0,0.0007662835249042146,0.0,0.005082949870276475,0.034482758620689655,0.0
45,0.0,0.0007496251874062968,0.0,0.005028638630059497,0.034482758620689655,0.0
46,0.0,0.0007336757153338225,0.0,0.004976030801999464,0.034482758620689655,0.0
47,0.0,0.0007183908045977011,0.0,0.004925039224426038,0.034482758620689655,0.0
48,0.0,0.0007037297677691766,0.0,0.0048755828502994435,0.034482758620689655,0.0
49,0.0,0.000689655172413793,0.0,0.004827586206896552,0.034482758620689655,0.0
50,0.0,0.000676132521974307,0.0,0.004780978912687949,0.034482758620689655,0.0
51,0.0,0.000663129973474801,0.0,0.004735695244391811,0.034482758620689655,0.0
52,0.0,0.0006506180871828236,0.0,0.004691673748163941,0.034482758620689655,0.0
53,0.0,0.0006385696040868455,0.0,0.004648856889706588,0.034482758620689655,0.0
54,0.0,0.0006269592476489029,0.0,0.004607190738777136,0.034482758620689655,0.0
55,0.0,0.0006157635467980296,0.0,0.004566624684172206,0.034482758620689655,0.0
56,0.0,0.0006049606775559588,0.0,0.004527111175770044,0.034482758620689655,0.0
57,0.0,0.0005945303210463733,0.0,0.004488605490648483,0.034482758620689655,0.0
58,0.0,0.0005844535359438924,0.0,0.004451065520668562,0.034482758620689655,0.0
59,0.0,0.0005747126436781609,0.0,0.0044144515792348335,0.034482758620689655,0.0
60,0.0,0.0005652911249293386,0.0,0.00437872622522037,0.034482758620689655,0.0
61,0.0,0.0005561735261401557,0.0,0.004343854102284012,0.034482758620689655,0.0
62,0.0,0.0005473453749315818,0.0,0.004309801792015221,0.034482758620689655,0.0
63,0.0,0.0005387931034482759,0.0,0.004276537679522506,0.034482758620689655,0.0
64,0.0,0.0005305039787798408,0.0,0.004244031830238726,0.034482758620689655,0.0
65,0.0,0.000522466039707419,0.0,0.004212255876853996,0.034482758620689655,0.0
66,0.0,0.000514668039114771,0.0,0.004181182915407082,0.034482758620689655,0.0
67,0.0,0.0005070993914807302,0.0,0.004150787409671626,0.034482758620689655,0.0
68,0.0,0.0004997501249375312,0.0,0.004121045103066126,0.034482758620689655,0.0
69,0.0,0.0004926108374384236,0.0,0.0040919329373980675,0.034482758620689655,0.0
70,0.0,0.00048567265662943174,0.0,0.004063428977824554,0.034482758620689655,0.0
71,0.0,0.0004789272030651341,0.0,0.004035512343475268,0.034482758620689655,0.0
72,0.0,0.00047236655644780347,0.0,0.00400816314323976,0.034482758620689655,0.0
73,0.0,0.00046598322460391424,0.0,0.003981362416270983,0.034482758620689655,0.0
74,0.0,0.0004597701149425287,0.0,0.003955092076801208,0.034482758620689655,0.0
